time,size,AtoB,AtoC,AtoD
26.937,770,2.654e-2,2.6541968002e-2,5.7701968002e-2
27.1295,578,5.6381833877e-2,5.6385603212e-2,8.6009603212e-2
27.274,1202,2.7404e-2,2.7411191877e-2,6.2027191877e-2
27.5745,194,3.5216492999e-2,3.5221353574e-2,6.1773353574e-2
27.623,1442,2.7884e-2,2.7893033105e-2,6.4429033105e-2
27.9835,1202,2.7404e-2,2.7413002505e-2,6.2029002505e-2
28.284,1394,2.7788e-2,2.7797940802e-2,6.3949940802e-2
28.6325,578,2.6156e-2,2.6161201153e-2,5.5785201153e-2
28.777,1010,2.702e-2,2.7023199587e-2,6.0103199587e-2
29.0295,674,2.6348e-2,2.6350959393e-2,5.6742959393e-2
29.198,770,2.654e-2,2.654964011e-2,5.770964011e-2
29.3905,1298,2.7596e-2,2.7597482247e-2,6.2981482247e-2
29.715,866,2.6732e-2,2.6740824731e-2,5.8668824731e-2
29.9315,194,2.5388e-2,2.5396695442e-2,5.1948695442e-2
29.98,578,2.6156e-2,2.6163352414e-2,5.5787352414e-2
30.1245,866,2.6732e-2,2.6740604113e-2,5.8668604113e-2
30.341,290,2.558e-2,2.5585559799e-2,5.2905559799e-2
30.4135,146,2.5292e-2,2.5295577255e-2,5.1463577255e-2
30.45,1154,4.9091148869e-2,4.9097302043e-2,8.3329302043e-2
30.7385,1442,3.4126290139e-2,3.412905915e-2,7.066505915e-2
31.099,914,2.6828e-2,2.6831040586e-2,5.9143040586e-2
31.3275,1250,2.75e-2,2.7505863298e-2,6.2505863298e-2
31.64,914,2.6828e-2,2.6836988452e-2,5.9148988452e-2
31.8685,914,2.6828e-2,2.6835637942e-2,5.9147637942e-2
32.097,1106,2.7212e-2,2.7215163435e-2,6.1063163435e-2
32.3735,1250,2.75e-2,2.7501184519e-2,6.2501184519e-2
32.686,1202,2.7404e-2,2.740740427e-2,6.5780827525e-2
32.9865,1250,2.75e-2,2.750309792e-2,6.250309792e-2
33.299,578,2.6156e-2,2.6163989562e-2,5.5787989562e-2
33.4435,482,2.5964e-2,2.5969712542e-2,5.4825712542e-2
33.564,818,2.6636e-2,2.663840381e-2,5.818240381e-2
33.7685,1394,2.7788e-2,2.7796417813e-2,6.3948417813e-2
34.117,626,2.6252e-2,2.6259679845e-2,5.6267679845e-2
34.2735,1394,2.7788e-2,2.779565269e-2,6.394765269e-2
34.622,962,2.6924e-2,2.6933930366e-2,5.9629930366e-2
34.8625,194,2.5388e-2,2.5393440087e-2,5.1945440087e-2
34.911,50,2.51e-2,2.5105456925e-2,5.0505456925e-2
34.9235,1442,2.7884e-2,2.7888435698e-2,6.4424435698e-2
35.284,1490,2.798e-2,2.7989123458e-2,6.4909123458e-2
35.6565,482,2.5964e-2,2.5966305607e-2,5.4822305607e-2
35.777,530,2.606e-2,2.6065315393e-2,5.5305315393e-2
35.9095,242,2.5484e-2,2.5488388938e-2,5.2424388938e-2
